Anno,DR_SG,DR_All_Rated,RR
1982,0.0319,0.0319,0.386
1983,0.0109,0.0109,0.557
1984,0.0084,0.0084,0.486
1985,0.0171,0.0171,0.459
1986,0.035,0.035,0.345
1987,0.0134,0.0134,0.62
1988,0.0266,0.0266,0.436
1989,0.0429,0.0429,0.383
1990,0.1014,0.1014,0.234
1991,0.1027,0.1027,0.36
1992,0.034,0.034,0.501
1993,0.0111,0.0111,0.566
1994,0.0145,0.0145,0.394
1995,0.019,0.019,0.406
1996,0.0123,0.0123,0.519
1997,0.0125,0.0125,0.542
1998,0.016,0.016,0.359
1999,0.0415,0.0415,0.279
2000,0.0507,0.0507,0.264
2001,0.098,0.098,0.255
