"years","DR_SG","DR_AR","RR",
1983,4.06,0.9,52.7,
1984,3.13,0.87,49.4,
1985,3.77,0.95,60.2,
1986,6.16,1.83,50.4,
1987,4.31,1.42,63.8,
1988,3.85,1.39,45.2,
1989,5.91,2.23,43.6,
1990,10.54,3.57,38.2,
1991,9.1,2.8,36.7,
1992,4.93,1.34,49.2,
1993,3.4,0.9,37.1,
1994,2.34,0.65,53.7,
1995,3.06,0.9,47.6,
1996,1.65,0.51,62.8,
1997,1.89,0.62,56.1,
1998,3.03,1.14,39.5,
1999,5.36,2.12,38,
2000,6.08,2.45,24.2,
2001,9.63,3.68,21.2,
2002,7.66,2.92,29.5,
2003,5.33,1.85,41.9,
2004,2.42,0.83,52.1,
2005,1.72,0.65,54.9,
2006,1.67,0.59,55,
2007,0.95,0.35,53.7,
2008,5.43,2.51,33.5,
2009,12.11,5.01,36.7,
2010,3.01,1.23,50.7,
2011,1.98,0.91,41.3,
2012,2.76,1.23,43.3,
2013,2.63,1.23,45,
2014,1.94,0.94,46.1,
2015,3.67,1.75,37.6,
2016,4.45,2.14,31.5,
2017,2.91,1.41,53.9,

